text,emoji
"Соня, Вы такая красивая",💔💔
Ну не скажу что богатый,🤣
Чего на мальчика обозлились? Он всего-лишь себе захотел статуэтку синей руки,🥺🥺
У меня тик тока нет,😃😃😃
Только Валюха да мамаша Коляна жутко бесят,😡
"Кринжатина какая, пародия на Венсдей, дно пробито",💅
"Да, я помню, уже ответила выше",👆
"Не иначе как вызов зрителям, чтобы они проверили свои экстрасенсорные способности",😀
"ITшники не в счет - они знают, что делать, чтобы прочитать этот текст",😁
Не зря же их тоже наделяют магическими способностями,😜
Ещё красоты тебе принесли,😍
"Уже есть предположения, кто из всех девчонок может стать той самой для Гецати?",😏
"а зачем покупать победу, своих сил не хватает? ну давайте пожалеем его, бедный мужчина",😓
"Мария Мотина, Валерия Некрасова очень интересные",❤
ты мне на соо ответила,🗿
Мотина все песенка спета,😉
"А я одна вижу, что этот Максим Левин, похож на какого-то зэка?",😁😂
"Некрасова, мне кажется, смахивает вообще на транса",😄
Как перестать видеть под номером 7 диджея Smashа,🤣🤣
Он с ней попрощался,🤷🏽
пускай на зоне поборется,😔
Чем Левин вам мешает?,🤷
А я думаю кого напоминает,😂👍🏻
Какой ты сигма,🤩
Кретова или Гацунати,🥰
Нафиг этот левин нужен,🫨
Я надеюсь что победу одержит Елизавета,🫶🏼🌷
"Да пусть все участвуют, дальше видно будет",😉
Это ещё кто то смотрит,😂😂
"Николь выгнали с реванша, левин где-то посидел 1,5 года, ПОБЕДИТЕЛЬ, и еще раз? Что происходит",😂
"Клас , а моё удалили",💗
"Конечно, не боже, но очень приятно",😊
"Теперь выпуски буду смотреть на рутубе, чтобы перематывать как проходит левин",😬
"Картину показали это точно, что от неё очень плохо стало",😱
лучше бы не смотрела,🤦
У Кретовой тоже губы нормальные и выглядит натуральнее всех,🤷
Анна Кост на этом фото очень на Анну Асти похожа,🤭
Докатились в чатах нельзя сидеть,😱
Тебя из мира живых надо выкинуть,😂😂😂
В первый день всех раком поставил,😎
"Не слушай бабку, у неё семечки кончились вот и ворчит",😂
ПРЕКРАШАЙ ПИСАТЬ МАТЫ ТЫ ТУТ НЕ ОДНА БЕШЕННАЯ МАРОМОЙКА,🫵🫵🫵
Да столько матов по моему не читает,😂😂😂
"Я им как-то пыталась писать на электронку, но они не приняли, написали, что почта перегружена",😂
Или он сам матерится,😂
"под моим забором, а тебя так и манит ко мне, ЗНАЧИТ Я ТЕБЕ ОЧЕНЬ ИНТЕРЕСНА",😂
Я не знаю зачем в общем чате маты писать что за неуважение к остальным людям,😡😡😡
Череватый через слово матерится,😂
Ну так убирайте за собой и пахнуть не будет,🤷
Ну раньше и время было другое,🙄
И Матом я не так уж часто и ругалась,😂
"Или сама дорогу найдешь, по своим какашкам?",😂
"МАРОМОЙКА ты иди встань на колени, причмокни у Влада если ещё даст тебе за щеку",😂😂😂
Ой как остроумно,😂
"А я, всего навсего послала тебя по твоим собственным следам пройтись",😂
МАРОМОЙКА и есть МАРОМОЙКА,😂😂😂
Ооо вы как гиены одна начала остальные сразу на подхвате,😂
Как Даша ходит по квартире- это вообще супер,😆
"разве что то имею противЭто ваши подружки под каждым моим сообщением то обсираются, то тошнотят",😂
"Светка очень эффектная и симпатичная, на неё приятно смотреть",👍🏻
"Гена и Даша уже не такие живчики… с возрастом все меняются, но супер всё равно",😍
Значит поднять этот вопрос через редакциб надо пробовать,🤷
Люблю делать всё наоборот,😂
"Подростковый инфатилизм, в пенсионном возрасте, это серьезно",😂
У неё трагедия по всем фронтам,😂😂😂
Ей 51 год я думала лет 16-17,👀👀👀
И не только ему,😂
"Я сюда зашла с их официальной страницы ТНТ, значит админ: ау",😂
"А вы приглядитесь повнимательнее, в ком бесы то сидят",😂
Кто под каждым моим сообщением бесится,😂
Вся деревня напала на силу отгавкалась,😂😂😂
В отношении тебя нет,😂
Мадам ды вы Однолинейное сушество,🤷
Да уже по-моему,😂😂😂
батюшки МАРОМОЙКА пойди умойся святой водой может попустит,😂😂😂
А Маромойка это не оскорбление?,😂
Это видимо благородное выражение благородных девиц,😂
Какие они у вас умнички,😂
Ну тогда делаю вывод что и вы такая же,🤷
Ну как бы не тебе мне указывать в каком чате сидеть,😂
"вы даёте мне намного больше лет, что говорит о том что я намного мудрее вас",😎😂
"И правда что, что с вас взять",😂
не доросли еще,😎
"Это вы сейчас про кого, про себя что-ли",😂
Боюсь от вас бесов подцепить,😂
"я же говорю одноклеточное создание, юродивая тебе простительно",😂😂😂
Здорово что шепсы и Матвеев представляют наш регион,😃
Иди рот прополощи,😂
Посдедняя фантазия покинула,😂😂😂
Давайте поддержим моего Брата в голосовании ‼,▶
"Детка, так ты вообще недоразвитая, оказывается",😂😂😂
тебе можно юродивая,😂😂😂
Это ты себе в отражение так говоришь,😂
Вот это самокритика,👍
"Да у меня то всё нормально, а ты смотри не перенапрягись когда срешь",😂
Это к врачу не сюда,😂
"Это я тебе говорю, опять читать разучилась?",😂
"Вроде уже закончилось голосование,прям интересно что будет в субботу,страшно",😄
я же совет дала к врачу,😘
"Мои извилины, в норме, не передивай, а вот тебе с одной надо что то делать",😂
"Для меня Саша всё таки сильнейший ,не Олег",😅
Олег хороший парень,🤗
"Константин сильнейший ,Виктория сильнейшая",🤗
Тебе же надо,😂
"А если срочно, то 03 звони",😂
Надо просто Саше корону снести лопатой и норм,😄
"Прям совсем противил своей манерой общения с братом ,Олег вечно как обосрышь стоял",😄
Ты переживаешь что у меня всё в норме?,😂
"шоу ,думаю просто в рамках этого шоу Саша так вел себя ,то же не нравилось",😅
"Спасибо что без закадрового смеха! А так, мне понравилось",😃
В головушке твоей совсем пусто,😂😂😂
"погуглите сколько стоит час общения с Череватым ,я просто охренела ,вот куда надо идти учится",🤣
Шизафрения до кучи ты очень больной человек ужас,😂😂😂
"Так тебе же врач нужен, сама сказала",😂
"смотрела передачу про тарифы ,не знаю на сколько правда там говорили он один евро берет",😅
"Тут за 20 горбатишься месяц ,60 тысяч час Карл",😅😂
Ужас шиза тебя накрывает не подецки,😂😂😂
"Костя на приеме,бабло зарабатывает а не чатится тут",😂🤣🤣
В чем же это заключается,😂
Они все так,😅
Да я стебу её,😂😂😂
"Кто-то еще нервы тратит,в жизни мало хватает говна ?",😀
Ну у Влада перебор с аппетитом,😅
"Ты обсираешься всю дорогу на меня, и при этом это меня то накрывает?",😂
Ну видимо по личному опыту судишь и знаешь как она проявляется?,😂
"Воронеж ,то же самое",😅
Я не врач помочь вам не смогу вам к психологу,😘
"А знаете что самое смешное ,у меня в семье за Влада голосуют",🤣
"скройся уже, ты тут нафиг никому не нужна и не интересна, достала как гнойный аппендицит",😂
"не далеко от меня ,погода в этом году радует ,новый год встретить со снегом кайф",🥰
Не я ж под чужими забора сру,😂
"Я не читаю ,что она пишет",😂
"Ооо бюджетно ,можно записываться",😃
Кто бы говорил,😂
"А я из Черкесска, Кавказ",😘
"Такая метель у нас была ,ужас ,три дня мело ,снега много",🤗
А у нас дождь осень какая то а не зима ужас,👀👀👀
"Класс Горы супер,очень хочу туда попасть ,свежий воздух А кто где работает?мы такие разные",😄
Робота плохое слово,😂
"Ну да ,еда приятнее когда слушаешь как кого то убили",😂🤣🤣
"Всё же зима должна быть зимой ,дождь зимой не радует",🙃
Пипец как не радует я бы сказала достал,😡
Главное чтобы приносила удовольствие,❤
Ну вот мы совсем рядышком,😂
"ТНТ ,ТНТ у нас тут битва своя",😅
Сама в шоке прям соседи,🤝🤝🤝
Пусть Олег Шепс победит,😍
Меня уже все знают как зовут,😂
"Конечно,лучше бы экстрасенсы погоде помогли",😂🤣
"Шаманка Марьяна всё может ,думаю и погодой управлять до же",😅
Это к дождю,🤣
"Марьяна спорный персонаж ,в ней есть ранимость это да , чувственность,но язык",👅
Всем спокойной ночи,😘
"с наступающим праздником,скоро уже решающий выпуск",🤩
но я буду на корпоративе,😂😅
если что пишите кто выиграл,🥇
Да она походу заболела,🤧
Это да шок в каждой серии от неё присутствовал,😅
Я вот посмотрела из за него это шоу,🤣
"Серии были довольно прикольные, ждем завтрашний день",🚀
Труселя с Олегом рассмешили,😅
"Ой, как это я пропустила данное сообщение",😂
"так это нормально, а как на три буквы вас послали так сразу пасти свои открыли",😂
Ну не интересно так и нечего лезть ко мне,🤷
"Кстати, не стоит обобщать насчёт всех",😂
"Но тебе это всё равно не поможет, шлейф тянется",😂😂
у нас сегодня потеплело,🙈
Займись делом мой тебе совет! А то прям замкнула тебя на смайликах,😂😏
Может быть и не факт,🤷
"Никого не хватит инфаркт от этого ,( надеюсь",☝🤣
Это очень заметно,😂
Утомила ты меня,🙈
"Иди книжки почитай, это иногда полезно",🤪
У нас потеплело -24Барнаул любимый,❤
У нас еще гололед,😭
В пятницу + 1 обещают,😳
"Сегодня узнаем кто победил) хотя что тут знать,Шепс полюбас",🤷
ГДЕ ПОСМОТРЕТЬ ВТОРУЮ СЕРИЮ БЕСПЛАТНО ???,🆘😂
Бедолаги как же вас трегерит от смайликов,😂😂😂
Да я заметила что вас это не интересует,😂😂😂
Смайлы душу показывают ты серьёзно так думаешь,😂😂😂
вызвало у неё негодование моя вина в чём??? То что я считаю это не правильным!!!,😏😏😏
Ого какой фетиш у человека,😂😂
Делает для себя скрины всех матов,😂
Ну ка даже интересно самой посмотреть где я матерюсь постоянно(если это ко мне относится,🤔
Скинула с памятью беда,😂😂😂
С тебя достаточно,😘
"постоянно, ты в принцыпи не должна материться в общем чате!!! Это не уважение ко всем!!!",😘
Всё я полетела на работу машина приехала,😘😘😘
"чтоб вспомнить что пишешь, а потом удаляешь из страха что тебя админ заблочит за это",😂😂😂
"Или ты это в состоянии аффекта пишешь, или что не пойму",🤔
В том то и дело что писала,🙈
"победит, потому что слила когда то финал в сторис и из за этого неинтересно стало",🤮
у Нигай походу все блюда самые любимые,😂🤮
"Так я то читаю, а вот ты поверхностно",😂
Иди уже работай,😂😂😂
скучно скучно я то еду а вот ты,😂😂😂
"О господи, вы что реально все скрины делаете",🙈
А вот я то уже давно на работе,😂
"Начался словесный понос, и вам доброго утра",😂😂😂
Она гонит не реально,😂
"себе все держать то организм какашками заполняется, а потом начинает везде гадить и плохо пахнуть",🤷
И вам доброго утра,😜
Займись своим чатам у тебя работы много,😂😂😂
"Бредятина , больше нечего показать",🤮
"Мдааа, хороший получился чат, я представляю что будет когда победителя объявят",😂😂😂
Всем доброе утро,🤝
"Виктория поехала в МСК, отличной дороги и победы",❤
Вопрос: а будет ли спойлер?,🤔
"Посерьезней твоей будет, уж поверь",😂😎
Вот тебе и ага,😂
успакаивай себя ага,😘
"Я то спокойна, это вы заводитесь с пол оборота",🤷
"Для того чтоб ссориться, нужно дружить",😂
"А тут обменялись любезностями, и мнением",😂
Не тебе указывать в каком чате мне сидеть,😂😂😂
Открывай! К тебе стучится Олечка,❤
Танцуй вместе с Бузовой,💃
Как ей подходит эта Роль,❤
Она там в этом фильме вместо Натальи Крачковской играет,😁
Бузова в танце,🔥
"Ой, уж эти Бузовые! Лучше бы новогоднюю елку посмотрела",🎄
"Ольга Игоревна, это просто супер пупер, обожаю",💋💋💋
"Мне даже импонирует то,что вы во мне видите такого человека",😜
"Фига себе, как ты себя красиво описала",😂😂😂
"Вы знаете, я уже давно тут с ними общаюсь,Они такие забавные",😂
И у всех одна и та же пластинка на всех,😂
Сейчас и Вам прилетит,🙈🤷
"перебор? Они же не оскверняют старые фильмы, отношения к советским фильмам никакого, что не так?",🤷
"Обожаю, самая, самая",😍😍😍
Обожаю Ольгу Бузову,❤❤❤
Ждём её новую роль на ТВ,👍👍👍
Ждём Вашу новую роль на ТВ,👍👍👍
"Браво Ольга, браво",👏👏👏
Оля отличная комедийная актриса,😍
"Я не люблю Бузову , но она молодец ‼",
"Ааааа, просто лучшая",😍😍😍
Вот это супер,🫧🔥🔥
"Чем наполнен, то и льётся",😂
"Я знаю, что я буду смотреть в новогоднюю ночь!",🔥🔥🔥
Мужчиной вас назвать сложно!,👎
"Оля, ждем новогоднюю премьеру фильма!",❤🫶
Я была бы рада если бы ко мне в дверь постучала Оля,😜
А может уже,😂
Оля милашка такая,🤗
Ты не знала,👀👀👀
"зрителей Никитой, но тут такое разочарование , такая неприятная личность в паре с Кариной Нигай",🤮
Интрига закручивается со страшной силой,😂
"Если Матвеев победит, то Астрид точно приложила китайские ручки",😂
"у ТНТ получилось ,было горячо",😅
Может и спойлер объявится,😂
Оля наш человечек,👍
"Надо смотреть тгк эксов, кто-нибудь проболтается или намекнёт",😉
"Думаю,что проболтается первый Влад",😂
Умеет поднять настроение,🥰
"Заметить, то заметили, но как оказалось, это ничего не значит",🙈
Курица раскудахтались свои перья раскидала,😂
(ближайшее метро Красные Ворота)Приходи поддержать любимого экстрасенса,🔮🔮🔮
Ольга наш человечек,❤
Жду премьеру фильма,🔥🔥🔥
",Олечка красотка в любом образе",❤❤❤
Не бесите Олю,😁
и смотрите музыкальный ремейк в Новогоднюю ночь,😍😍😍
Бузова и шутить насмешили,😂
"Ничего не пропускаю ,где участвует Оля Бузова",😍😍😍
Хахаха актриса еще та,😂😘😍
"Думаю, что спойлер у нас будет раньше",😉
Оля - ты талантище,👏👏👏
"Заметил, что в Африке пока побеждали только мужчины?",🤨
Будет ли нарушена традиция в этот раз?,🤔
Пусть победит сильнейший,🙏🙏🙏
Женька Эскандарова машина! Жду её победы!,💪💪💪
"Женечка должна выиграть, мне очень она нравится",😍
там из мужчин только Баранбаранов как он победит то,🙂🙂
Кокс или Искандарова обойдут Базанова,💥
"Желаю победы Карине Кокс либо Жене, они просто лучшие)",🔥
"Победит Базанов """,✊
""" ;) ему ж надо на что-то снимать —""Патриот 4""",🤣
Потому что Санечка-Пирожочек он же ST самый лучший,🔥🫰🏻
но я бы хотела1сезон: Юля Гаврилина,❤
2сезон: Валя Карнавал,❤
3сезон: Маша Погребняк,❤
4сезон: Карина Кокс,❤
или Лина Джебисашвили,❤
Болеем за Женю,❤
"Были, но какие-то захереныши",😅🤦🏻
"Женя лучшая в этом сезоне, всем помогала",👍🎉
"Тут к ужину и бутылку спиртного нужно приготовить, чтобы не так обидно было",😂
( Базарова я тоже посчитала,😁
А ты чё не смотрела сезон с ним?,😜
Будут всегда мужчины,😅
Женя или Кокс,🫶
уже были победитель пусть женщина победит только одна Женя ты сильная надеюсь за еë болеею,💪🙏
"надеюсь Женёк победит, она сильная",💪
Умочка! Женя давай! Дуй за победой!,😄
Стопудово будет эта традиция нарушена)) из оставшихся только Женя и Карина Кокс достойны победы,😉
"иначе репутация шоу или канала ТНТ ухудшится)) Женя и Карина Кокс, за вами победа",🔥🔥🔥
Болеем за Кокс,👍
", потом Женю",👍
Базанов типа должен победить?,😂
"победы!))) самые мощные, боевые и разумные девчонки за все 5 сезонов этого шоу, пушка огонь",🔥🔥🔥
За Карину Кокс и Женю,♥
"Я думала он роль играет, в оказывается он такой в жизни тупенький",😂
Держу кулачки за Женю и Карину,😍
"какой-то тоже чудной и туповатый) особенно меня убило, что у него одна минута это 100сек",😂🤣
"Следовательно, победит Женя!",☺
"писали ложную информацию о победителях)) а в этом сезоне немного говорили как-то, что вообще Шаляпин",😂
Ой не дай бог Базанову победить,😃
Нигай только и умеет хвастаться,😂
"но думается , что , явно , произойдёт нечто такое , что нас всех удивит",😊💯
За Карину Кокс,👍
Башаров и создатели битвы,🤮💩
"Хочу чтобы победила Кокс, но пятая точка чует подвох, наверно это будет Базанов",😔
"Я афигею если выйграет Нигай,кто угодно, только не она",🥴
"брр,и поиздеваться не забыла малёх,чтоб не хавали сразу",👍😄
Не знаю правда ли,🤷
"Ага,Лине аметист достался)) на беременность мне грит",😄
я даже не знала что камень есть такой,😜
Любим Ольгу Бузову!,😘
Женька мощь машина,💪
"Кокс или Женя, только не Базаров и Нигай",🤮
"Надеюсь что, да",😂
Или Кокс или Женя,💯💯💯
ща ваще такой юморок не вставляет,😏
Будет! Болею за Женю!,💗
САМЫЕ БЫСТРЫЕ ПАЛЬЦЫ НА РАЙОНЕ,😏
у пользователей в списке выше,⬆
"Ты тоже можешь попасть в топ и получить мерч ""Без Баб"" или ""Без Мужиков""",👍➡
У фанатов своя битва,😊
Все комментарии писала сама Бузова,😂
Кариночка Кокс за тебя,❤
Олег я за тебя ты супер,😁
Ей идет эта роль,👍😁
"Судя по отрывкам из фильма, сыграла очень даже хорошо",🙂
Через 3 часа узнаем,😏
кто же победит,🤣🤣🤣
Тут вариантов всего два,💪
"те кто непосредственно в эпицентре событий, держите нас в курсе",😁😁
В финале должен быть на все,💯
Саша уже всем яйца подарил,🤣
Саша спасибо за настроение,🤣
Я сегодня с подарками,🥚😁
Либо Женя либо Карина Кокс победит)базанов и нигай точно досвидос,🙈
«Святой отец» из нашего «мексиканского сериала»,😁
"Сашу хоть скоро увидим на экстрасенсы реванш , это хорошо",🤗
Я за Карину Кокс,💪
"Ждём, обязательно посмотрим",🔥
В этой четвёрке только Виктория и Олег я за них,♥
Не спорю они оба очень харизматичны и профи,🔥
Жалко что сюда видосы нельзя кидать,😜
Чтобы пыпыски у малолеток окончательно потекли,😂
За мозгами следом,😝
Что пока ?,💋😭😭
Не хочу чтобы они заканчивались,💔😢😞
До субботы целая вечность,🙈
В смысле? Проект закрывают??? В смысле пока????,😀😀😀
"Обойдетесь, мы сыщики всё узнаем сразу",😈
ДИМА И ВЛАД,❤
Я из этого фд) Вроде бы,🙈
Хотелось бы чтобы Вика,❤
Надеюсь это Дима,🥺
Я за Олега,👍
вообще то в 20:30,😏
"Как это пока? Посмотрите, что у готического зала творится",🤩
"с этой очаровательной девяткой сильнейших, спасибо ещë раз редакторам, спасибо, что подарили мне вторую семью",❤
"были этот год рядом, безумно буду помнить эту битву ""девяти ядовитых пауков в банке """,🥹❤
Пора отпускать их,💔
"я так хочу вернуться в май,май",❤
Кстати я танго зажигаю,😂
Всё не вечно,💔
А тоже болею за Влада,❤
"а у меня вобще всю трясет, мне очень страшно, я уверена что он выйграет",😭😭
Сейчас трое ответят,😂
Нет все время пропаганды вышло,😂
Ира закрыла комы,😿
"Как можно, так ругаться матом, да ещё и всевышнего упоминать",😡
Я за Саманту,👍
"Меня вынесло, когда Женя сказала что хочет себе мозги",😂
ДАЙТЕ ПЕВЧЕЙ БОЛЬШЕ ЭФИРНОГО ВРЕМЕНИ! ВСЁ ВЫРЕЗАЮТ,😭
Да что ты,😂
"а щас мало образов слизывают? Все эти ""Барби""",🤣
упал просто ниже некуда,👎
Мы Константина подвинули,🤣
"живое это или нет, а потом выкручивалась так тупо, что ну когда он был жив",😂
"Не важно сколько рук взял, он всего второй раз пришёл",😃
Last of us ремейкбл просто топчиг,🤣
Верните шоу «влюбись если сможешь»,🥲
Всем спокойной ночи,❤
"Все в курсе, что мама Саманты потомственная актриса с дипломом психолога?",😂
"За Саманту по ходу одни зумеры и голосуют, и мамкины фанаты по сериалу Гадалка",🤪
Да)) символично вышло с ответом,😁
Это любимый прием одного известного из битвы сильнейших,😂
"Девочка с вредным характером, но сильная))Хотя без характера здесь никак",😁
В чем проблема с газпром id?,😳
"А яндекс id, а сбер id? А номер паспорта и снилс? Нафига это все",🤦
Посмотри с чего все началось,🙂
У нее аргументы закончились,🙄
Пока нет никакой информации,🥺🥺
Следи на новостями в наших социальных сетях,❤
"новой команде Романа Попова и Софии Каштановой, и оставшимся командам «Сокровищ императора» предстоит сложнейшее испытание",😄
Без Верещагиных уже не то,😭😭😭
Нафиг вы заранее команды объявляете? Интереснее же во время шоу узнать,😔
"Последнюю серию вообще их почти не показывали,рейтинг не они делают,а Ершев бешеный и две швабры",😁
"Вот, это да! Прекрасная парочка!",❤
Жги там на все деньги,😂😁👏
И останется при нем лишь его гордый взгляд,🦅
"Такой тип мужчин, чаще всего попадает в такие",🐾
"Ждем, будем смотреть",😊
"Фабрика звёзд"" исполнила очередную мечту! К Даше Кочневой на День Рождения приехала ее любимая группа",🥹
Сегодня в 19:00,😎
Помнишь во сколько??? Сегодня в 19:00,🥰🥰🥰
Он классный пацан,🥰
"была операция на головном мозге, чета там страшное было,,, молодец выде, выжил,,, удачи тебе красавчик",🎉🎉🎉
"Не нравится, не смотрю,,, не та фабрика как раньше, которую всееее ждали",🥀
включай ТНТ в 22:00,😊
Чур без спойлеров,😜
"В начале что это было, пение",🙄
"Очень рада, что они пришли на шоу!!!",🤩
Женя и Карина самые лучшие,👍👍👍
"с биноклем, необходимо найти кошку, все искали ее в бинокль, Женя с мамой нет, смухлевали",😡
Полицейские с Рублёвки пришли и ушли,😔
Оля же говорила,🤦
Попов и Каштанова - лучший дуэт во все времена,🤘
Он пакостит - она молчит,🤦
Настоящий мужчина и король,👍👍👍
Вот это поворот,😳
Очень жаль что Филипп и Вольфганг покинули Сокровища Императора,😔
Как классно спел Габриэль! Бесподобно,❤
"Я думала голубые откажутся от шанса остаться,но они",🤬
"через программу,а Филипп с Черни дошли бы до финала(да и на них интересно смотреть,Фил прикольный",👍
"он,даже если тяжело идти,все равно двигается дальше,а Попов где-то не то,чтобы присел отдохнуть,но и прилёг",🤦
Не вижу тут что то нечестного,🤨
Придётся смотреть ради Хэттерс,❤
Мне очень жаль маму Ершова,😢
язык бы вырвала ему,🤬
Из-за них и смотрела,🥲
бы они ещё не играли в семейку Адамс… Слишком много спеси для такой маленькой девочки,🙃
"Верещагины, счастья вам и семейного благополучия!",❤
"О, Мухич с Кристиной",👍👏
"Филипп это нечто, он делает шоу",👍👍👍
"Короче, не нравится от слова совсем!",👎
Зачем брать жирных на это шоу?,😐
"Мухич, как ты мог",🙈
"Как жаль, что они последние",😢
Выгоните уже нахрен Мамаеву и Погребняк,👎
"Господи, не ушли сегодня, так уйдут завтра, цирк",🤦🏻
"Мне кажется, или в следующем выпуске проект покинет Дава и Арман",😔
Теперь смотреть даже не хочется,🙈
"полную, Филипп, Вольф вы супер! Будем рады видеть вас в других шоу, например в Африке!",🫶
Полностью поддерживаю! Болела за Вольфа,😭😭😭
"Верещагины ушли, Вольф с Филиппом Киркоровым ушли, очень жаль эти команды",🥹
Надеюсь в следующем выпуске придёт сильная пара,🙏
"участники уже выложили результаты следующей недели, жесть там конечно",😳
Вольфганг Черни уступают свое место в борьбе за миллион юаней Софии Каштановой и Роману Попову,🫡
Как тебе такой благородный поступок красной команды?,🥺
"Жалко очень, что ушли – как по мне, лучшая команда",💔
"Я за Давида и Армана, пусть ещё по бегают по Китаю!",❤
"Филипп,нам будет тебя не хватать в шоу",🙏
Ещё раз спасибо,🙏❤
Надо было оставить Вольфа с Соней,👍😂
"Красавчики, одно слово",👍
"А так, молодцы, мужской поступок",😔
Роме надо поднажать,🤣
Я бы на их месте не согласилась на уступленое местоКрасные the best,❤
"Блиин, ну что за спойлеры",🫠
И Погребняк тоже убрать бы,😡
"Грустно, что нашего Фильки там больше нет, украшение проекта, не ожидала от него такого",😍🥰😘
Верните плиз Филиппа и Вольфганга,🙏🙏🙏
"То есть что преобладает в человеке, то и будет раздражать его в другом",😁😁😁
Я бы его за нарушения просто выгнала,🤬
В точку с языка сняли,👍
"Рома прикольный , но почему-то его мне жалко",🤷
Скажите это всем психологам,😂😂😂
Ещё и 3х сыновей воспитывает,🤦
Верните нам Фильку,🤗
Может петицию создать,😅
Согласна на все 100500%,🙌
"После ухода Верещагиных болею за жёлтых , Карину и Женю",❤
Просто опять пропиариться!!! Вот и весь поступок,🤢
К бабке не ходи 100%,😃
"пройти испытания, как будто это они случайно у них спросили и те им решили помочь",😄
"самый лучший сын маминой подруги! Классный! Огромный респект Карине и Жене, девчонки нежный красивый бронепоезд",😘
Они были ну просто лучшими,💔
Верните Филиппа и Вольфа,😭😭😭
"И, кстати, брат Давы похудел малость и тоже расходился",😂
Это реально так! Для меня он раскрылся совсем с другой стороны! Комментарии Филиппа бесценны,😁
"А мне вообще непонятно, зачем придумали вместо ушедших новеньких",🤔
"Я не знала, что настолько",😄
Почему-то так отвратительно смотрится,🤢
Наконец - то Киркоров вошёл в ту дверь,🤩
Надо будет посмотреть,😁
Без них будет скучно,🥱
Шоу оно и есть шоу,🤣🤣🤣
Филя слишком большое значение предал черной кошке,😐
"как Рома на каждом шагу садился, ложился, останавливался - их не мудрено обогнать кому угодно!",🏃
"Ни к чему это благородство Филиппа! Он так радовался, что они первые, лидеры",♥
А потом так легко отдал своё место в проекте!,🤦🏻
Буду перксматривать выпуски с момента прихода красной команды в шоу,😭😭😭
Теперь без Филиппа грустно смотреть шоу,😢
"Поступок, достойный уважения",👍👍👍
"Сегодня одного участника потеряла не только «Новая Фабрика», но и группа «Группа»",😢
"Пересматриваем эпичное выступление Вадима Гладкова, который покинул проект, и его друга-Круга",🔥
А хороши ж,✅
было самое клевое выступление-эмоция всего выпуска! Я прям несколько раз перематывала и смотрела заново! Клааасс!,👏🔥🎉
Можно было и без грубиянства!,😒
Больше особо никто не интересен,😒
Вот так Красиво и благородно он покидает проект,😂😂
Филипп и Вольфганг красавчики,🔥
"Поступок, достойный короля",👍
И ему - как с гуся вода,😤😤😤
надо было ехать,😔
Очень жаль что ушёл,🥺
"Задолбала своими итригами, говно человек, вечно недовольная",🤮
Жду когда его на самолёт посадят,😤
"Очень жаль, что ушли",😢
"же МашаА синие еже размечтались, породниться с ней Бесила ужас как !А сейчас , респект",👍
Синие идут сосать,👍
Нн бот победил,🤨
"Лучшие! Я так , что они выиграли!!!",🎉
Лагашкин у вас в заложниках ?,😄
"Вроде взрослый человек, а значение слова даун не знаете",🤦
Телеканал ТНТ добавил Вас в семейный чат «Ткачевы на связи»,❤
Как весело! С нетерпением жду общения семьи на ТНТ!,❤
Первые серии нрав,🤗👍
Главное чтоб все это не превратилось в дом-2,😂
ТНТ вообще молодцы,👏👏👏
И говорить что уже идёт новый сериал,🙂
"Смотрите ""Главную дорогу"" на НТВ",😄
ТОЛЬКО в Перми мы уже посмотрели,🤗👍
С языка сняли!,👍
Тоже хочу 2 сезон,🔥
"Когда будет марафон скетч-кома ""Наша Раша: Дайджест""?спасибо заранее,ответ мне важен",🙏
"Ну вроде ничего сериал, мне понравился",😊
"Пришлось группу в архив закинуть, чтоб посмотреть финал с интересом",😁
Зелёные и Синие достойны финальной схватки,🔥
"Главное, что не синие!! А Дава, с таким напарником, как Арман",🤦
"Арман, как якорь, тащит его ко дну",⚓
Приятно читать такие комментарии,❤
"Девочки, Анечки просто",💥
Я его не узнала,🤣🤣🤣
Удалите серию и оставьте Аарона,🤣
Кто же руку заберёт? Свет или наоборот? А награду заберет тот кто кровь твою возьмет,🩸
Да буди дабудай,😅😂🤣
Однотипные эти сериалы все стали,😔
За Ершова с мамой болела,😔
